ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,1.819,1.819,/home/aogle/Desktop/simfection/model_profiling/conenction_engine_timing_test.py:41(run_single_pop_test)
1,0.000,0.000,1.819,1.819,/home/aogle/Desktop/simfection/model_profiling/conenction_engine_timing_test.py:30(_single_pop_experiment)
11,0.000,0.000,1.652,0.150,../simfection/connection_engine.py:175(create_connections)
455/73,0.010,0.000,1.377,0.019,../simfection/connection_engine.py:114(_build_connection_list)
455,0.005,0.000,0.541,0.001,../simfection/connection_engine.py:101(_available_to_connect)
1860/1395,0.004,0.000,0.341,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:1754(__getitem__)
476,0.002,0.000,0.321,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:665(__setitem__)
476,0.010,0.000,0.280,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:782(_setitem_with_indexer)
3788,0.011,0.000,0.268,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2767(__getitem__)
1772,0.005,0.000,0.265,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:2116(_getitem_axis)
4611,0.023,0.000,0.249,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/series.py:183(__init__)
11,0.003,0.000,0.235,0.021,../simfection/connection_engine.py:226(<listcomp>)
455,0.001,0.000,0.233,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3858(drop)
455,0.001,0.000,0.232,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3907(drop)
73,0.000,0.000,0.232,0.003,../simfection/connection_engine.py:84(_max_connections)
455,0.003,0.000,0.230,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3943(_drop_axis)
73,0.202,0.003,0.202,0.003,{method 'normal' of 'numpy.random.mtrand.RandomState' objects}
484,0.002,0.000,0.202,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2824(_getitem_bool_array)
528,0.002,0.000,0.197,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3399(_take_with_is_copy)
976,0.003,0.000,0.187,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/internals/managers.py:1224(reindex_indexer)
