ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,5.652,5.652,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:38(run_single_pop_test)
1,0.000,0.000,5.652,5.652,/home/aogle/Desktop/simfection/model_profiling/connection_engine_profiler.py:29(_single_pop_experiment)
1,0.000,0.000,5.629,5.629,../simfection/connection_engine.py:175(create_connections)
1577/217,0.032,0.000,4.891,0.023,../simfection/connection_engine.py:114(_build_connection_list)
1577,0.019,0.000,1.897,0.001,../simfection/connection_engine.py:101(_available_to_connect)
6248/4686,0.013,0.000,1.107,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:1754(__getitem__)
1563,0.007,0.000,1.065,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:665(__setitem__)
1563,0.031,0.000,0.961,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:782(_setitem_with_indexer)
6240,0.017,0.000,0.957,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/indexing.py:2116(_getitem_axis)
12803,0.041,0.000,0.922,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2767(__getitem__)
1577,0.002,0.000,0.834,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:3858(drop)
1577,0.004,0.000,0.832,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3907(drop)
1577,0.009,0.000,0.825,0.001,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/generic.py:3943(_drop_axis)
14197,0.072,0.000,0.798,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/series.py:183(__init__)
1,0.008,0.008,0.733,0.733,../simfection/connection_engine.py:226(<listcomp>)
217,0.001,0.000,0.725,0.003,../simfection/connection_engine.py:84(_max_connections)
1664,0.006,0.000,0.696,0.000,/home/aogle/.local/share/virtualenvs/simfection-EXkRslSq/lib/python3.8/site-packages/pandas/core/frame.py:2824(_getitem_bool_array)
